#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Kemp" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Kemp" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Kemp" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Kemp" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Kemp" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:Kemp" spec="beast.base.evolution.tree.TraitSet" traitname="date" units="day">
#                                    Day0=0,
#Day36=36,
#Day40=40,
#Day44=44,
#Day49=49,
#Day53=53,
#Day65=65,
#Day81=81,
#Day85=85,
#Day88=88,
#Day92_1=92,
#Day92_2=92,
#Day94=94,
#Day97=97,
#Day98_1=98,
#Day98_2=98,
#Day99_1=99,
#Day99_2=99,
#Day100_1=100,
#Day100_2=100                
#                                        <taxa id="TaxonSet.Kemp" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Kemp"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:Kemp" name="distribution">
#            <parameter id="clockRate.c:Kemp" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.base.inference.parameter.RealParameter">-5.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:Kemp" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Kemp" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:Kemp" name="distribution">
#            <parameter id="kappa.s:Kemp" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Kemp" name="distribution" x="@popSize.t:Kemp">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <distribution id="Root.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:Kemp">
#            <taxonset id="Root" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Day0" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Kemp" id="treeLikelihood.Kemp" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Kemp">
#            <siteModel id="SiteModel.s:Kemp" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Kemp" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Kemp" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Kemp" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Kemp" kappa="@kappa.s:Kemp" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Kemp" id="estimatedFreqs.s:Kemp" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Kemp" id="StrictClock.c:Kemp" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	height(Day0)	popSize	CoalescentConstant
0	-708768.9942367619	-708748.5588930513	-20.435343710572635	-708748.5588930513	100.08047424741115	110.50533991568248	1.0	2.0	0.25	0.25	0.25	0.25	0.0	0.3	-14.728575569895387
1000	-303545.4092411226	-303546.3860061607	0.976765038095795	-303546.3860061607	100.50856064110991	105.56890025597974	0.09521845322117262	2.9980143560070656	0.14642773067077647	0.08673943713148172	0.5663592241893822	0.20047360800835964	0.0	0.47811747861020387	2.409762193424151
2000	-46627.64104313933	-46640.72757279193	13.086529652600493	-46640.72757279193	100.4585671945329	104.69732821400521	4.881614560138556E-4	6.398610233124162	0.36133554152727504	0.2011007226562875	0.31044348456708776	0.12712025124934984	0.0	0.25280238503957725	7.496640066742769
3000	-41358.25120624517	-41309.90422932551	-48.346976919657735	-41309.90422932551	100.81826562805843	164.60062616706358	1.6078718737993307E-5	4.569830848013907	0.3227854184582291	0.2129810639035891	0.17376414856478173	0.29046936907340004	0.0	4.999516141003132	-45.96055389268879
4000	-41260.909107749256	-41192.81653681169	-68.09257093756729	-41192.81653681169	101.57716853303012	215.11668299481838	7.385816118344233E-6	5.146728556966787	0.3227854184582291	0.2032972377422349	0.17376414856478173	0.30015319523475426	0.0	6.647898343986292	-62.79511674094088
5000	-41241.844305281316	-41173.84330143232	-68.00100384899807	-41173.84330143232	100.00593572892308	214.77908305458286	7.385816118344233E-6	5.146728556966787	0.3227854184582291	0.2032972377422349	0.17376414856478173	0.30015319523475426	0.0	10.278741126335639	-62.26777262458974
6000	-41197.15925420511	-41123.95577445521	-73.2034797499033	-41123.95577445521	102.69444697024475	234.58295896860938	6.951247327126033E-6	7.458570254972199	0.33319506985567354	0.1747974792184207	0.18629820512613648	0.30570924579976927	0.0	15.6135108929751	-66.18657742754931
7000	-41195.581422175004	-41118.73002582807	-76.85139634693971	-41118.73002582807	103.7537153063854	259.81035860554687	6.951247327126033E-6	7.458570254972199	0.33319506985567354	0.1747974792184207	0.18629820512613648	0.30570924579976927	0.0	10.763563935893787	-70.20646392619075
8000	-41145.936679161474	-41070.0853879854	-75.85129117607647	-41070.0853879854	101.94890861853801	259.88054146458495	6.690922861245769E-6	3.7434761907400937	0.29213919652947745	0.17156864391434865	0.2145643261254385	0.3217278334307354	0.0	15.397019206015097	-69.82724010242892
9000	-41150.455930984215	-41069.917131806804	-80.53879917741504	-41069.917131806804	101.1384285982725	282.59262079247355	5.598809452705031E-6	3.7434761907400937	0.29213919652947745	0.17156864391434865	0.2145643261254385	0.3217278334307354	0.0	15.397019206015097	-73.89417968937528
10000	-41151.99734901243	-41074.3309225079	-77.66642650453039	-41074.3309225079	102.92863999022885	270.36222377570795	8.240136942249294E-6	3.7434761907400937	0.29213919652947745	0.17156864391434865	0.2145643261254385	0.3217278334307354	0.0	20.007640023906827	-72.07995631028444
11000	-41152.05932032883	-41074.793705758	-77.26561457083116	-41074.793705758	102.79029354906984	261.2984265375558	8.240136942249294E-6	3.7434761907400937	0.29213919652947745	0.17156864391434865	0.2145643261254385	0.3217278334307354	0.0	10.013900200322293	-72.37128443054793
12000	-41153.268506425586	-41073.3923127632	-79.87619366238867	-41073.3923127632	103.2760651644899	278.1650402512179	4.773220370221236E-6	3.7434761907400937	0.29213919652947745	0.17156864391434865	0.2145643261254385	0.3217278334307354	0.0	17.31665164770288	-72.54127032199133
13000	-41141.552033364955	-41064.17958231795	-77.3724510470021	-41064.17958231795	100.81190317219703	271.0477274360968	6.683053342255798E-6	2.1155704821571137	0.29129036278158627	0.19549817932967162	0.1834451234192918	0.3297663344694503	0.0	15.969273683348623	-71.87815521591993
14000	-41136.27450149427	-41056.31930051813	-79.95520097613701	-41056.31930051813	100.39626830454785	272.7936226320767	5.42340279211117E-6	2.1155704821571137	0.29129036278158627	0.19549817932967162	0.1834451234192918	0.3297663344694503	0.0	15.112966289738978	-73.78649363052506
15000	-41130.0866965931	-41039.42402180288	-90.66267479022244	-41039.42402180288	101.80842341408274	358.93158815034116	3.7771971193157297E-6	2.2657187866545714	0.2889358970076097	0.19225192230979887	0.1968180189533656	0.3219941617292258	0.0	27.59178908320229	-82.56826576907298
16000	-41122.52755224895	-41032.39616226182	-90.13138998712363	-41032.39616226182	100.56486013188601	336.0194687089885	4.5226979943741286E-6	2.106218459420352	0.29351681270139207	0.18790033653404692	0.20353060647068114	0.3150522442938798	0.0	27.496251243065185	-82.78951068337706
17000	-41122.301077125536	-41030.69194399089	-91.60913313464447	-41030.69194399089	101.1673461328839	351.41459390322166	4.5226979943741286E-6	2.106218459420352	0.29351681270139207	0.18790033653404692	0.20353060647068114	0.3150522442938798	0.0	32.86869404496836	-84.088782851868
18000	-41123.52033300176	-41025.415962102525	-98.10437089923349	-41025.415962102525	152.7819939872067	503.3300826695352	3.297351617689457E-6	2.106218459420352	0.29351681270139207	0.18790033653404692	0.20353060647068114	0.3150522442938798	0.0	33.782425576410596	-89.3630421613882
19000	-41125.64417165198	-41019.35703007082	-106.28714158115456	-41019.35703007082	162.7390594881466	575.3001667847021	2.716801892184118E-6	2.106218459420352	0.29351681270139207	0.18790033653404692	0.20353060647068114	0.3150522442938798	0.0	61.87850303451173	-96.17748517255754
20000	-41120.016684708586	-41005.717860014185	-114.29882469440352	-41005.717860014185	194.94168634116372	753.6074580823893	2.1360311830779835E-6	2.228430438699596	0.2950362691000564	0.18429510312524405	0.19916924612189452	0.32149938165280506	0.0	86.18189419403718	-102.78174487728975
21000	-41126.997768106	-41012.61557636199	-114.3821917440104	-41012.61557636199	166.7569206610481	656.0131432869999	1.8070030264544812E-6	2.228430438699596	0.2950362691000564	0.18429510312524405	0.19916924612189452	0.32149938165280506	0.0	122.46442783660137	-101.80954873502458
22000	-41125.89281520416	-41015.21048302955	-110.68233217461193	-41015.21048302955	133.5513363647288	590.9492807919901	2.5966313521493883E-6	2.4101848924282643	0.2949721552065093	0.1810082447201576	0.19662162884347767	0.3273979712298554	0.0	88.68193327845157	-99.8268971289901
