Protein,Position
leader protein,266..805
nsp2,806..2719
nsp3,2720..8554
nsp4,8555..10054
3C-like proteinase,10055..10972
nsp6,10973..11842
nsp7,11843..12091
nsp8,12092..12685
nsp9,12686..13024
nsp10,13025..13441
RNA-dependent RNA polymerase,"13442..13468,13468..16236"
helicase,16237..18039
3'-to-5' exonuclease,18040..19620
endoRNAse,19621..20658
2'-O-ribose methyltransferase,20659..21552
nsp11,13442..13480
surface glycoprotein,21563..25384
ORF3a protein,25393..26220
envelope protein,26245..26472
membrane glycoprotein,26523..27191
ORF6 protein,27202..27387
ORF7a protein,27394..27759
ORF7b protein,27756..27887
ORF8 protein,27894..28259
nucleocapsid phosphoprotein,28274..29533
ORF10 protein,29558..29674
